B坂,E山,2
F山,E山,1
G木,D村,4
F木,C木,2
G木,A森,2
G木,C村,3
F森,G森,2
E森,D木,1
G木,B森,1
B坂,F村,5
F木,D木,0
A坂,G村,1
F木,B森,3
D坂,B坂,1
A森,E山,6
C村,E山,1
D森,D木,2
G山,F森,2
B村,F村,4
C坂,C山,4
A森,F木,0
F木,C村,2
D坂,C坂,3
F坂,B坂,3
F木,D村,1
D山,E山,1
E木,C森,3
D森,C木,1
D森,F木,1
G山,D村,4
G木,C森,1
B山,E坂,1
C木,G森,3
E木,B木,2
E森,A木,2
F山,C森,2
D山,C木,5
G坂,B木,1
D山,D坂,5
F山,C山,3
C山,B坂,1
B森,A坂,2
G木,F森,3
E森,E木,2
B森,A山,4
A森,A村,0
A村,C村,3
B村,E森,2
G木,C山,2
D森,D坂,4
A坂,F村,0
E木,D村,2
D森,A村,1
F森,B森,3
G山,C森,3
D坂,D村,1
D森,E木,3
A坂,B木,0
B村,D森,3
E村,B木,1
D森,D村,1
D坂,A村,0
F木,C坂,1
E森,D坂,1
G坂,E坂,1
G山,E山,1
B山,F森,1
C山,G村,1
E木,A木,3
B村,F山,3
A木,C森,2
C坂,D木,4
B村,B森,1
F坂,E坂,0
B山,A山,1
A坂,E山,1
D坂,D木,2
A森,A山,2
C村,A山,0
F森,C山,0
F坂,G木,1
B山,G村,5
G森,E山,4
G森,F村,4
G森,C森,0
B森,E山,1
B森,G村,1
A坂,C山,3
G森,E坂,1
D森,C森,1
E木,C坂,2
D坂,F木,3
E村,G木,3
G森,B木,1
E村,A木,3
G木,G村,4
B山,F坂,1
D木,C森,3
C木,A山,4
B山,D木,3
B村,A山,1
G坂,A村,3
E村,D山,2
F坂,C山,2
F坂,B木,1
E山,F村,2
D山,B森,3
B山,A森,4
B山,C村,0
D森,C山,3
F木,E坂,4
G坂,A木,3
G山,F木,5
G木,G森,3
B山,C山,2
G山,G村,0
B村,F坂,2
A木,G森,3
D山,C山,5
F森,A坂,2
F山,F木,2
E村,B坂,2
C木,D木,2
G木,F山,2
D山,E木,2
D木,E坂,2
A坂,A山,3
E木,E山,0
D村,A山,2
D山,C森,1
G森,G村,1
F木,A村,1
C山,B木,1
A坂,D村,3
B村,E村,3
G山,G木,2
E木,F木,2
A村,A坂,0
E森,E坂,3
C山,C森,3
B山,B木,1
E木,C木,3
G坂,B坂,0
B坂,A山,2
F坂,G村,2
D坂,G村,1
E坂,A山,3
F森,F村,0
